model_dt_f1,model_dt_f2,model_dt_f3,model_rf_f1,model_rf_f2,model_rf_f3,model_et_f1,model_et_f2,model_et_f3,model_cat_f1,model_cat_f2,model_cat_f3,model_ebm_f1_out_1,model_ebm_f2_out_1,model_ebm_f3_out_1,model_ebm_f1_out_8,model_ebm_f2_out_8,model_ebm_f3_out_8,model_ebm_f1_out_16,model_ebm_f2_out_16,model_ebm_f3_out_16,model_ebm_f1_out_24,model_ebm_f2_out_24,model_ebm_f3_out_24,model_lgb_f1,model_lgb_f2,model_lgb_f3,model_xg_f1,model_xg_f2,model_xg_f3,model_gdt_f1,model_gdt_f2,model_gdt_f3
27.478373474995227,36.61110651683096,18.7284762540101,15.642651396664208,19.610594844980465,15.805875780664232,18.520219007749372,20.78825089746388,21.031391328451086,14.90915075326447,16.82053501643232,16.110690039319127,13.095645111121444,12.885829525696002,12.501572501425523,12.317831113864317,12.044581537030885,12.02968211153778,12.724938093577816,12.53653000520824,12.533978060540408,12.74884192754395,12.524731168106355,12.535686401258191,43.33748083919801,0.0,0.0,59.272647857666016,0.0,0.0,22.53619963144588,18.01664293896487,11.381252531040813
49.25421413173567,13.121642460690726,27.13131664731596,18.48367729484928,19.615866093898752,13.501868187451553,18.323741666227107,21.044518033859738,20.878179078569357,14.005264080155865,16.749992725888557,17.70253657554299,14.203396993812351,14.117270042696395,13.903812935072636,12.062984123724489,12.020313292180914,11.955654912879039,12.058427942231292,11.971953597540603,11.861176062379696,11.5045064526374,11.415975215741128,11.299288023330742,43.33748083919801,0.0,0.0,59.272647857666016,0.0,0.0,18.627453955844313,21.724226191109643,11.15854087772765
49.698450815329515,13.480457952013419,19.37981955414082,15.760585862651796,16.396464544606197,18.891354449504487,20.631138274536227,19.768238353076732,19.738038043539188,15.293730170270456,15.76613044381518,17.20641749111686,13.678207582619248,13.073987468754549,13.484954745458003,12.727271837148436,12.549368239629635,12.549132793539501,12.865909228070441,12.686667132321528,12.606523342705028,12.744813539050243,12.605928055033932,12.453105405817562,43.33748083919801,0.0,0.0,59.272647857666016,0.0,0.0,14.81887074355008,12.474762246593343,26.041009608241417
14.91343671801126,19.676283181443477,50.839189628908365,17.517781073523103,18.66776150214223,15.809615160524126,20.423411489679626,19.29156844672463,20.589270422617382,15.66142455452443,15.076082350395984,17.305229803967418,11.780384303574822,11.138147590641054,10.895760692947286,12.634596454413867,12.377251181641807,12.250674878200146,12.377287011939403,12.135131143716444,12.003115912875304,12.119604208950287,11.884945114834368,11.79626799163937,43.33748083919801,0.0,0.0,59.272647857666016,0.0,0.0,12.88220620223515,15.00938557176658,25.767141498186046
16.343169523588237,22.476333216782297,39.98963285599213,17.380054481269642,17.26462002734812,17.265696978585435,21.648727811766435,19.190070950895294,19.42947065688229,16.426580862529498,15.665294637715107,15.744296037118374,13.64547749314427,12.960254005249556,13.135376159061082,12.178799529329536,12.037795882182637,12.058864373679922,12.702913547494884,12.528528820494717,12.520845096571614,12.478174589905914,12.33425600814515,12.236980861086877,43.33748083919801,0.0,0.0,59.272647857666016,0.0,0.0,24.01154361908368,15.047526540230397,12.279320486836578
46.53262817557045,14.531154581482456,19.785072337703973,15.984123883687285,19.15286097723071,16.33078265931607,19.614547369175416,20.39505766742275,20.159581180805937,15.820809120968176,15.707299091151228,16.626623511494987,12.984252575741758,13.329949129044477,13.651878456653069,12.161312684292222,11.962753128335551,12.002446299331893,12.729812592110104,12.392794325334624,12.42847341175522,12.037702426291256,11.791246373805743,11.759065331156206,43.33748083919801,0.0,0.0,59.272647857666016,0.0,0.0,16.48263403718502,15.8346581849885,18.459338312842103
19.323608259786763,12.843666493805358,49.05703665984873,17.042544794028654,16.371323816558142,18.388140036946563,18.441632756128516,21.54351200249868,20.15525727377897,14.70736619665477,16.49346021045975,16.711342828278465,9.875349239852198,9.915322209440022,9.757670412997896,10.965021669691655,10.865094951907414,10.660521009668741,11.83528560789803,11.605583778233239,11.417792162308055,12.23087607148985,12.06548472639046,11.905153868533716,43.33748083919801,0.0,0.0,59.272647857666016,0.0,0.0,13.817153883838673,22.112772083864865,14.30323390593443
37.76347296881206,29.37409931379407,13.722826763908637,18.181429914523598,16.83287797069988,16.739184046274257,18.15388750370817,22.143724896241206,19.94514557927673,16.18049045324175,15.174141774792842,16.773399365589217,13.640982162685093,13.712061019765498,13.64480665277748,11.612271129520925,11.32133399077638,11.281690125354373,12.544339646654318,12.336797198738433,12.287386783625283,12.580016461582419,12.389926996731463,12.334531977367314,43.33748083919801,0.0,0.0,59.272647857666016,0.0,0.0,14.703008218003133,14.851821605749551,22.48729785618382
19.987959811947686,12.160594074508973,49.39790398058322,16.491024862458023,16.99795788395186,16.95081088546136,19.785934625047723,19.273231111278005,21.145937040528306,16.20037566157775,16.946094206988327,14.59291965344364,14.090817469229949,13.852478247259825,13.791892920897633,13.53215049847418,13.206420596348519,13.21922836778634,13.365134960409517,13.08275991613,13.068021181487868,13.294399488272896,13.092787092114795,13.054960914794403,43.33748083919801,0.0,0.0,59.272647857666016,0.0,0.0,17.091350836585214,11.018026633485979,24.63724479139542
52.537507688350495,27.934912982886207,11.174032746502464,14.684895817773015,19.909454645052392,17.49501719367242,20.78852770590951,19.368829934917574,20.03569067029817,16.124880199943423,17.65249952424617,14.183993966914203,13.391826314236408,13.064227439620325,12.835538257326732,11.723797351692243,11.429282460342057,11.281812274021286,11.532661964508211,11.343939436572311,11.164728495550918,12.001809396437116,11.841183508966493,11.702393630853768,43.33748083919801,0.0,0.0,59.272647857666016,0.0,0.0,16.36330680617862,16.793797371164267,21.301208932392278
